"Status","ReferenceNo","PlanType","InitialSum","MaturityYear","AnnualPremium","MaturityValue","AnnualReturnsPct"
"Reserved","A541001775 
                                                                                                                                                                                                                                                                           Type of &lt;br&gt;Plan: WL                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                Initial &lt;br&gt; Sum ($): 23,970                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                Years to &lt;br&gt;Maturity: 7                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                Maturity &lt;br&gt;Year: 2034                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                Annual &lt;br&gt;Premium ($): 2,233                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                Maturity &lt;br&gt; Value ($): 50,078                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                Annual &lt;br&gt; Returns (%): 4.2 - 3.7    Enquire Now -->","WL","23,970","2034","2,233","50,078","4.2 - 3.7"
"Available","A541061508 
                                                                                                                                                                                                                                                                           Type of &lt;br&gt;Plan: AE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                Initial &lt;br&gt; Sum ($): 17,181                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                Years to &lt;br&gt;Maturity: 13                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                Maturity &lt;br&gt;Year: 2039                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                Annual &lt;br&gt;Premium ($): 1,341                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                Maturity &lt;br&gt; Value ($): 54,023                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                Annual &lt;br&gt; Returns (%): 5.7 - 4.3    Enquire Now -->","AE","17,181","2039","1,341","54,023","5.7 - 4.3"
"New","A542672213 
                                                                                                                                                                                                                                                                           Type of &lt;br&gt;Plan: AE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                Initial &lt;br&gt; Sum ($): 14,849                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                Years to &lt;br&gt;Maturity: 14                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                Maturity &lt;br&gt;Year: 2041                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                Annual &lt;br&gt;Premium ($): 1,375                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                Maturity &lt;br&gt; Value ($): 55,223                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                Annual &lt;br&gt; Returns (%): 6.0 - 4.4    Enquire Now -->","AE","14,849","2041","1,375","55,223","6.0 - 4.4"
"Promo","A542790548 
                                                                                                                                                                                                                                                                           Type of &lt;br&gt;Plan: AE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                Initial &lt;br&gt; Sum ($): 6,209                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                Years to &lt;br&gt;Maturity: 15                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                Maturity &lt;br&gt;Year: 2041                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                Annual &lt;br&gt;Premium ($): 750                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                Maturity &lt;br&gt; Value ($): 30,013                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                Annual &lt;br&gt; Returns (%): 7.2 - 5.0    Enquire Now -->","AE","6,209","2041","750","30,013","7.2 - 5.0"
"Available","A542790632 
                                                                                                                                                                                                                                                                           Type of &lt;br&gt;Plan: AE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                Initial &lt;br&gt; Sum ($): 8,517                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                Years to &lt;br&gt;Maturity: 15                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                Maturity &lt;br&gt;Year: 2041                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                Annual &lt;br&gt;Premium ($): 894                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                Maturity &lt;br&gt; Value ($): 36,015                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                Annual &lt;br&gt; Returns (%): 6.3 - 4.5    Enquire Now -->","AE","8,517","2041","894","36,015","6.3 - 4.5"
"Available","A543602651 
                                                                                                                                                                                                                                                                           Type of &lt;br&gt;Plan: AELP                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                Initial &lt;br&gt; Sum ($): 12,802                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                Years to &lt;br&gt;Maturity: 12/27                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                Maturity &lt;br&gt;Year: 2053                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                Annual &lt;br&gt;Premium ($): 1,686                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                Maturity &lt;br&gt; Value ($): 22,046                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                Annual &lt;br&gt; Returns (%): -    Enquire Now -->","AELP","12,802","2053","1,686","22,046","-"
"Available","A545694476 
                                                                                                                                                                                                                                                                           Type of &lt;br&gt;Plan: LP                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                Initial &lt;br&gt; Sum ($): 8,054                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                Years to &lt;br&gt;Maturity: 5/14                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                Maturity &lt;br&gt;Year: 2040                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                Annual &lt;br&gt;Premium ($): 1,163                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                Maturity &lt;br&gt; Value ($): 24,699                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                Annual &lt;br&gt; Returns (%): 6.0 - 5.4    Enquire Now -->","LP","8,054","2040","1,163","24,699","6.0 - 5.4"
"Reserved","A547000181 
                                                                                                                                                                                                                                                                           Type of &lt;br&gt;Plan: LP                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                Initial &lt;br&gt; Sum ($): 32,613                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                Years to &lt;br&gt;Maturity: 14                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                Maturity &lt;br&gt;Year: 2040                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                Annual &lt;br&gt;Premium ($): 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                Maturity &lt;br&gt; Value ($): 60,891                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                Annual &lt;br&gt; Returns (%): 6.0    Enquire Now -->","LP","32,613","2040","0","60,891","6.0"
