"Id","Title","Unit","Area","Aircon","Electrical","FloorTrap","GreaseTrap","Availability","Shopfront","Status","Slug","CreatedAt"
"761","Admiralty #02-K07","#02-K07","7.8","","","0","0","9-Oct-25","","published","admiralty-02-k07","2025-07-31T08:35:35.235Z"
"31","Admiralty #02-K17","#02-K17","7.8","N.A.","30A SPN","0","0","Immediate","Roller Shutter","published","admiralty-02-k17","2025-05-28T04:31:23.535Z"
"60","Admiralty #02-K18","#02-K18","7.8","N.A.","30A SPN","0","0","Immediate","Roller Shutter","published","admiralty-02-k18","2025-05-28T04:33:08.713Z"
"29","Bayshore BSR#02","BSR#02","18","N.A.","","0","0","Immediate","","published","bayshore-bsr02","2025-05-28T04:31:16.144Z"
"59","Boon Lay #01-01","#01-01","18.07","Single PEU","32A TPN","0","0","Immediate","Glass Shopfront","published","boon-lay-01-01","2025-05-28T04:33:05.191Z"
"765","Choa Chu Kang #01-27","#01-27","42.53","","","0","0","Immediate","","published","choa-chu-kang-01-27","2025-09-12T04:22:58.056Z"
"795","Choa Chu Kang #01-28","#01-28","32.65","","","0","0","Immediate","","published","choa-chu-kang-01-27","2026-03-30T12:25:42.778Z"
"796","Choa Chu Kang #01-29","#01-29","39.06","","","0","0","Immediate","","published","choa-chu-kang-01-27","2026-03-30T12:26:07.681Z"
"293","Dhoby Ghaut #B1-14","#B1-14","57.6","","","0","0","","","published","dhoby-ghaut-b1-14","2025-06-11T06:26:30.498Z"
"319","Esplanade #B1-05","#B1-05","56","Chilled Water FCU","60A SPN","0","0","TBA","SlideÂ  Stacking Glass Door","published","esplanade-b1-05","2025-06-11T06:28:00.800Z"
"792","Esplanade #B1-35","#B1-35","13.4","","","0","0","TBA","","published","esplanade-b1-35","2026-03-18T07:23:35.737Z"
"360","Gardens By The Bay #B1-04 ","#B1-04 ","45","N.A.","60A TPN(subject to changes)","0","0","TBC","","published","gardens-by-the-bay-b1-04-","2025-06-11T06:30:26.634Z"
"359","Gardens By The Bay #B1-05","#B1-05","45","N.A.","60A TPN(subject to changes)","0","0","TBC","","published","gardens-by-the-bay-b1-05","2025-06-11T06:30:23.135Z"
"358","Gardens By The Bay #B1-06","#B1-06","45","N.A.","60A TPN(subject to changes)","0","0","TBC","","published","gardens-by-the-bay-b1-06","2025-06-11T06:30:19.629Z"
"357","Gardens By The Bay #B1-07","#B1-07","45","N.A.","60A TPN(subject to changes)","0","0","TBC","","published","gardens-by-the-bay-b1-07","2025-06-11T06:30:16.127Z"
"385","Joo Koon #02-02","#02-02","23.5","","","0","0","TBA","","published","joo-koon-02-02","2025-06-11T06:31:55.764Z"
"43","Marina Bay #B1-03","#B1-03","15","N.A.","60A TPN (subject to changes)","0","0","Immediate","","published","marina-bay-b1-03","2025-05-28T04:32:07.075Z"
"444","Marina Bay [CCL] #B2-02","#B2-02","168","Chilled Water FCU","100A TPN (TBC)","0","0","TBC","Tempered Glass","published","marina-bay-b2-02","2025-06-11T06:35:56.205Z"
"764","Marina South Pier #B1-02","#B1-02","16","","","0","0","TBC","","published","marina-south-pier-b1-02","2025-09-09T04:38:14.809Z"
"26","Marine Parade #03","#03","20","N.A.","","0","0","Immediate","","published","marine-parade-03","2025-05-28T04:31:04.655Z"
